Medicine Name
Abies canadensis
Abies nigra
Abrotanum
Absinthium
Acalypha indica
Acetanilidum
Acetic acid
Achyranthes calea
Aconitinum
Aconitum cammarum
Aconitum ferox
Aconitum lycoctonum
Aconitum napellus
Actea spicata
Adonidinum
Adonis vernalis
Adrenalin
Aesculus glabra
Aesculus hippocastanum
Aethiops antimonialis
Aethiops mineralis
Aethusa cynapium
Agaricus emeticus
Agaricus muscarius
Agaricus phalloides
Agaricus vernus
Agave americana
Agnus castus
Agraphis nutans
Agrimonia eupatoria
Agrostema githago
Ailanthus glandulosa
Aletris farinosa
Alfalfa
Allium cepa
Allium sativum
Alnus
Aloe
Alstonia scholaris
Althaea officinalis
Alumen
Alumina
Alumina silicata
Aluminium aceticum
Aluminium muriaticum
Ambra grisea
Ambrosia
Ammoniacum dorema
Ammonium benzoicum
Ammonium bromatum
Ammonium carb
Ammonium causticum
Ammonium formaldehyde
Ammonium jodatum
Ammonium muriaticum
Ammonium phosphoricum
Ammonium picratum
Ammonium valerianicum
Ampelopsis
Ampelopsis trifoliata
Amphisbaena
Amygdalae amar aqua
Amygdalus persica
Amyl nitrosum
Anacardium
Anacardium occidentale
Anagallis
Anagyris foetida
Anantherum
Androsace lactea
Anemopsis californica
Angelica atropurpurea
Angustura vera
Anhalonium
Anilinum
Anthemis nobilis
Anthoxanthum odoratum
Anthracinum
Anthrakokali
Antimonium arsenicosum
Antimonium chloridum
Antimonium crudum
Antimonium iodatum
Antimonium sulphuratum auratum
Antimonium tartaricum
Antipyrine
Apiolum
Apis mellifica
Apium graveolens
Apium virus
Apocynum androsaemifolium
Apocynum cannabinum
Apomorphia
Aqua marina
Aquilegia
Aragallus lamberti
Aralia hispida
Aralia racemosa
Aranea diadema
Aranea scinencia
Arbutinum
Arbutus andrachne
Areca
Argemone mexicana
Argentum metallicum
Argentum nitricum
Aristolochia milhomens
Aristolochia serpentaria
Arnica
Arsenal
Arsenicum album
Arsenicum bromatum
Arsenicum hydrogenisatum
Arsenicum iodatum
Arsenicum metallicum
Arsenicum sulfuratum flavum
Arsenicum sulfuratum rubrum
Artemisia vulgaris
Arum dracontium
Arum italicum
Arum triphyllum
Arundo
Asafoetida
Asarum canadense
Asarum europum
Asclepias incarnata
Asclepias syriaca
Asclepias tuberosa
Asclepias vincetoxicum
Asimina triloba
Asparagus officinalis
Aspidosperma
Astacus fluviatilis
Asterias rubens
Astralagus mollisimus
Aurum arsenicicum
Aurum bromatum
Aurum iodatum
Aurum metallicum
Aurum muriaticum
Aurum muriaticum kalinatrum
Aurum sulphuratum
Aviare
Azadirachta indica
Bacillinum
Badiaga
Baja
Balsamum peruvianum
Balsamum tolutanum
Baptisia
Baptisia confusa
Barosma crenata
Baryta acetica
Baryta carb
Baryta iodata
Baryta muriatica
Belladonna
Bellis perennis
Benzenum
Benzinum dinitricum
Benzinum nitricum
Benzoicum acidum
Benzoinum odoriferum
Berberis aquifolium mahonia
Berberis vulgaris
Beta vulgaris
Betonica
Bismuthum
Bixa orellana
Blatta americana
Blatta orientalis
Boldoa fragrans
Boletus laricis
Borax
Boricum acidum
Bothrops lanciolatus
Botulinum
Bovista
Brachyglottis
Brassica napus
Bromium
Brucea
Bryonia
Bufo
Bungurus fasciatus
Butyric acid
Cactus grandiflorus
Cadmium bromatum
Cadmium iodatum
Cadmium sulphuricum
Caesium metallicum
Caffeine
Cahinca
Cajuputum
Caladium seguinum
Calcar calcinata
Calcarea acetic
Calcarea arsenica
Calcarea bromata
Calcarea carbonica
Calcarea caustica
Calcarea fluorica
Calcarea hypophosphorosa
Calcarea iodata
Calcarea lactica
Calcarea lacto-phosphica
Calcarea muriaticum
Calcarea oxalica
Calcarea phosphorica
Calcarea picrica
Calcarea silicata
Calcarea stibiato-sulphurata
Calcarea sulphurica
Calculus renalis
Calendula officinalis
Calotropis
Caltha palustris
Camphora
Camphora mono-bromata
Camphoricum acidum
Canchalagua
Cannibis indica
Cannibis sativa
Cantharidinum
Cantharis
Capparis coriaccea
Capsicum
Carbo animalis
Carbo vegetabilis
Carbolicum acidum
Carbon tetrachloride
Carboneum
Carboneum hydrogenisatum
Carboneum oxygenisatum
Carboneum sulphuratum
Carcinosin
Carduus marianus
Carlsbad
Cascara sagrada
Cascarilla
Castanea vesca
Castor equi
Castoreum
Catalpa bigmonoides
Cataria nepeta
Caulophyllum
Causticum
Ceanothus
Ceanothus thrysiflorus
Cedron
Cenchris contortrix
Centaurea tagana
Cephalanthus occidentalis
Cereus bonplandii
Cereus serpentinus
Cerium oxalicum
Cetraria islandica
Chamomilla
Chaparro amargoso
Chaulmoogra
Cheiranthus cheiri
Chelidonium majus
Chelone
Chenopodi glauci aphis
Chenopodium anthelminticum
Chenopodium vularia
Chimaphila maculata
Chimaphila umbellata
China muriaticum
Chininum arsenicosum
Chininum salicylicum
Chininum sulphuricum
Chionanthus
Chloralum
Chloroformum
Chlorum
Cholas terrapina
Cholesterinum
Cholinum
Chopheenee
Chromicum acidum
Chromicum sulphuricum
Chrysanthemum leucanthemum
Chrysarobinum
Cicer arietinum
Cicuta maculata
Cicuta virosa
Cimex
Cimicifuga racemosa
Cina
Cinchona officinalis
Cineraria
Cinnabaris mercurius sulphuratus ruber
Cinnamomum
Cistus canadensis
Citricum acidum
Citrus decumana
Citrus limonum
Citrus vulgaris
Clematis erecta
Clematis vitalba
Clotho arictans
Cobaltum
Coca
Cocaina
Coccinella septempunctata
Cocculus
Coccus cacti
Cochlearia armoracia
Codeinum
Coffea cruda
Colchicinum
Colchicum
Collinsonia canadensis
Colloidal manganese
Colocynthis
Colostrum
Comocladia dentata
Conchiolinum
Condurango
Conium
Convallaria majalis
Copaiva
Corallium
Corallorhiza
Cornus alternifolia
Cornus circinata
Cornus florida
Corydalis
Coto
Cotyledon
Crataegus
Crocus sativa
Crotalus cascavella
Crotalus horridus
Croton tiglium
Cubeba
Cucurbita citrullus
Cucurbita pepo
Cuphea
Cupressus australis
Cupressus lawsoniana
Cuprum aceticum
Cuprum arsenitum
Cuprum cyanatum
Cuprum metallicum
Cuprum oxydatum nigrum
Cuprum sulphuricum
Curare woorari
Cyclamen
Cydonia vulgaris
Cymarinum
Cypripedium
Cystisus laburnum
Daphne indica
Datura arborea
Derris pinnata
Dictamnus albus
Digitalis
Digitoxinum
Dioscorea villosa
Diosma lincaris
Diphtherinum
Diphtherotoxinum
Dipodium punctatum
Dirca palustris
Ditin
Dolichos pruriens
Doryphora
Drosera
Duboisia
Duboisin sulphate
Dulcamara
Echinacea Rudbeckia
Egg vaccine
Elaeis guineensis
Elaps corallinus
Elaterium ecbalium
Elemuy gauteria
Emetinum
Eosin
Ephedra vulgaris
Epigea repens
Epilobium
Epiphegus orobanche
Equisetum
Eranthis hymnalis
Erechthites
Ergotinum
Erigeron
Eriodictyon
Erodium cicutarium
Eryngium aquaticum
Erythrinus
Eschscholtzia californica
Eserin salicylate
Eserinum
Eucalyptus globulus
Eucalyptus rostrata
Eugenia jambos
Euonymus atropurpurea
Eupatorium aromaticum
Eupatorium perfoliatum
Eupatorium purpureum
Euphorbia hypericifolia
Euphorbia lathyris
Euphorbia prostata
Euphorbium
Euphrasia
Eupion
Fabiana imbricata
Fagopyrum
Fagus silvatica
Fel tauri
Ferrum aceticum
Ferrum arsenicosum
Ferrum bromatum
Ferrum citricum
Ferrum cyanatum
Ferrum iodatum
Ferrum magneticum
Ferrum metallicum
Ferrum muriaticum
Ferrum pernitricum
Ferrum phosphoricum
Ferrum picricum
Ferrum pyrophosphoricum
Ferrum sulphuricum
Ferrum tartaricum
Ferula glauca
Ficus carica
Ficus religiosa
Ficus venosa
Filix mas
Fluoricum acidum
Fluoroform
Formalin
Formica rufa
Formicum acidum
Fragaria
Franciscea
Fraxinus americana
Fraxinus excelsior
Fuchsina magenta
Gadus morrhua
Gaertner
Galanthus nivalis
Galega officinalis
Galium aparine
Gallicum acidum
Gambogia
Gaultheria
Gelatin
Gelsemium
Gentiana cruciata
Gentiana lutea
Gentiana quinquefolia
Geranium maculatum
Gettysburg water
Geum rivale
Ginseng
Glechoma hederacea
Glonoine
Glycerinum
Gnaphalium
Golondrina
Gossypium
Granatum
Graphites
Gratiola
Grindelia
Guaco
Guaiacum
Guajacolum
Guano
Guarea
Gunpowder
Gymnema silvestre
Gymnocladus
Haematoxylon
Hamamelis virginica
Hedeoma
Hedera helix
Hedysarum ildefonsianum
Hekla lava
Helianthus
Heliotropinum
Helix tosta
Helleborus
Helleborus foetidus
Helminthochortos
Heloderma
Helonias chamaelirium
Henchera
